Attack,Accuracy,TPR,FPR,AUC,SI-SNR,N
none,1.0000,1.0000,0.0000,1.0000,27.7,100
bandpass,1.0000,1.0000,0.0000,1.0000,8.3,100
highpass,0.5100,0.7900,0.7700,0.5007,-10.7,100
lowpass,1.0000,1.0000,0.0000,1.0000,7.8,100
boost,1.0000,1.0000,0.0000,1.0000,24.9,100
duck,1.0000,1.0000,0.0000,1.0000,27.7,100
echo,1.0000,1.0000,0.0000,1.0000,6.0,100
pink,1.0000,1.0000,0.0000,1.0000,19.3,100
white,1.0000,1.0000,0.0000,1.0000,19.3,100
fast_1.25x,0.5050,0.0100,0.0000,0.4807,-48.5,100
smooth,1.0000,1.0000,0.0000,1.0000,10.1,100
resample,1.0000,1.0000,0.0000,1.0000,11.6,100
aac,1.0000,1.0000,0.0000,1.0000,13.4,100
mp3,1.0000,1.0000,0.0000,1.0000,11.4,100
encodec,1.0000,1.0000,0.0000,1.0000,27.0,100
Average,0.9343,0.9200,0.0513,0.9321,,
